# SCOPE ASSUMPTIONS - BASELINE (MULTIPLIER 1.0),,,,,,,,,,
Category,Baseline Assumption,Current Scope,Small (1x),Medium (2x),Large (3x),Notes,,,,,
Solution Scope,Application Tiers,3-tier web application,3-tier web application,5-7 tier microservices,10+ tier distributed system,Application architecture for DR,,,,,
Solution Scope,RTO/RPO Requirements,RTO 4 hours RPO 1 hour,RTO 4-8 hours RPO 1-4 hours,RTO 1-4 hours RPO 15-60 min,RTO <1 hour RPO <15 min,Recovery time and point objectives,,,,,
Integration,Database Replication,Aurora Global Database,Single database replication,Multi-database sync,Cross-region active-active,Database DR strategy,,,,,
Integration,Data Sources,Primary app database + S3,2-3 data sources,4-6 data sources,8+ data sources,Data sources to protect,,,,,
User Base,Total Users,200 concurrent users,50-200 users,200-1000 users,1000+ concurrent users,Application user capacity,,,,,
User Base,User Roles,3 roles (end-user admin ops),2-3 standard roles,4-6 roles,8+ roles with failover access,Application roles and DR permissions,,,,,
Data Volume,Database Size,50 GB,50-100 GB,100 GB - 500 GB,500 GB+,Database replication volume,,,,,
Data Volume,Backup Retention,30 days retention,7-30 days,30-90 days,90+ days with compliance,Backup retention policy,,,,,
Technical Environment,Primary AWS Region,us-east-1,Single region primary,Multi-AZ primary,Multi-region active,Production region,,,,,
Technical Environment,DR AWS Region,us-west-2,Single DR region,Warm standby region,Hot standby multi-region,Disaster recovery region,,,,,
Technical Environment,Infrastructure Complexity,Pilot Light DR,Basic pilot light,Warm standby,Hot standby/Active-Active,DR architecture pattern,,,,,
Security & Compliance,Security Requirements,Encryption at rest/transit IAM,Basic encryption,Industry standard (SOC2),Advanced multi-region security,DR security controls,,,,,
Security & Compliance,Compliance Frameworks,SOC2 Type II,1-2 basic standards,2-3 industry standards,Multiple complex frameworks,DR compliance requirements,,,,,
Performance,Failover Requirements,Automated failover <15 min,Manual failover,Automated failover,Zero-downtime failover,Failover automation level,,,,,
Performance,Recovery Testing,Quarterly DR drills,Annual DR testing,Quarterly DR testing,Monthly DR drills,DR testing frequency,,,,,
Environment,Deployment Environments,3 environments (dev staging prod),2 environments,3 environments,4+ environments with DR,Environment DR coverage,,,,,
,,,,,,,,,,
# ESTIMATE SETTINGS - EO Sales Engineer Updates Multipliers Based on Customer Scope,,,,,,,,,,
Phase,Variable Name,Multiplier,Description / Applies To Tasks,,,,,,,
Discovery,DISCOVERY_MX,1,All Discovery phase tasks,,,,,,,
Planning,PLANNING_MX,1,All Planning phase tasks,,,,,,,
Development,DEVELOPMENT_MX,1,All Development phase tasks,,,,,,,
Testing,TESTING_MX,1,All Testing phase tasks,,,,,,,
Deployment,DEPLOYMENT_MX,1,All Deployment phase tasks,,,,,,,
Training,TRAINING_MX,1,All Training phase tasks,,,,,,,
Closeout,CLOSEOUT_MX,1,All Closeout phase tasks,,,,,,,
Management,MANAGEMENT_MX,1.5,Project Management overhead,,,,,,,
Leadership,LEADERSHIP_MX,1.5,Quarterback/Technical Leadership overhead,,,,,,,
,,,,,,,,,,
# Level of Effort,
Phase,Work Package,Task Description,Resource Type,Base Hours,Effort Multiplier,Actual Hours,Rate,Cost Estimate,Dependencies,Notes
Discovery,Cloud Requirements Gathering,Conduct stakeholder interviews for cloud migration/infrastructure,EO Engineer,40,='Estimate Settings'!$C$21,=$E33*$F33,$150,"=TEXT($G33*$H33,""$#,##0"")",,Focus on scalability performance and business objectives
Discovery,Infrastructure Assessment,Analyze current infrastructure workloads and dependencies,EO Engineer,32,='Estimate Settings'!$C$21,=$E34*$F34,$200,"=TEXT($G34*$H34,""$#,##0"")",,Include application dependencies and performance baselines
Discovery,AWS Services Assessment,Evaluate target AWS services and architecture patterns,EO Engineer,24,='Estimate Settings'!$C$21,=$E35*$F35,$200,"=TEXT($G35*$H35,""$#,##0"")",,Focus on cost optimization and best practices
Discovery,Compliance Review,Assess security governance and compliance requirements,EO Engineer,16,='Estimate Settings'!$C$21,=$E36*$F36,$175,"=TEXT($G36*$H36,""$#,##0"")",,Include industry regulations and data residency
Planning,AWS Architecture Design,Design AWS cloud architecture and migration strategy,EO Engineer,48,='Estimate Settings'!$C$22,=$E37*$F37,$200,"=TEXT($G37*$H37,""$#,##0"")",,Include multi-AZ design and disaster recovery
Planning,Migration Strategy,Develop detailed migration approach and timeline,EO Engineer,32,='Estimate Settings'!$C$22,=$E38*$F38,$180,"=TEXT($G38*$H38,""$#,##0"")",,Include risk assessment and rollback procedures
Planning,Security Architecture,Design AWS security controls and governance framework,EO Engineer,24,='Estimate Settings'!$C$22,=$E39*$F39,$175,"=TEXT($G39*$H39,""$#,##0"")",,Include IAM networking and data protection
Planning,Project Planning,Develop cloud implementation timeline and resource allocation,EO Engineer,24,='Estimate Settings'!$C$22,=$E40*$F40,$140,"=TEXT($G40*$H40,""$#,##0"")",,Coordinate with infrastructure and security teams
Development,AWS Infrastructure Provisioning,Provision AWS services networking and foundational infrastructure,EO Engineer,60,='Estimate Settings'!$C$23,=$E41*$F41,$160,"=TEXT($G41*$H41,""$#,##0"")",,Include VPC subnets security groups and routing
Development,Application Migration,Migrate applications and workloads to AWS,EO Engineer,80,='Estimate Settings'!$C$23,=$E42*$F42,$130,"=TEXT($G42*$H42,""$#,##0"")",,Include application optimization and testing
Development,Data Migration,Migrate databases and data stores to AWS,EO Engineer,48,='Estimate Settings'!$C$23,=$E43*$F43,$145,"=TEXT($G43*$H43,""$#,##0"")",,Include data validation backup and recovery testing
Development,Monitoring and Operations,Implement AWS monitoring logging and operational tools,EO Engineer,40,='Estimate Settings'!$C$23,=$E44*$F44,$140,"=TEXT($G44*$H44,""$#,##0"")",,Include CloudWatch X-Ray and operational dashboards
Development,Automation and IaC,Develop infrastructure automation using CloudFormation/CDK,EO Engineer,32,='Estimate Settings'!$C$23,=$E45*$F45,$125,"=TEXT($G45*$H45,""$#,##0"")",,Include CI/CD pipeline integration
Testing,Unit Testing,Develop automated tests for all solution components,EO Engineer,32,='Estimate Settings'!$C$24,=$E46*$F46,$120,"=TEXT($G46*$H46,""$#,##0"")",,Include technology-specific testing frameworks
Testing,Integration Testing,Test system integrations data flows and external dependencies,EO Engineer,40,='Estimate Settings'!$C$24,=$E47*$F47,$120,"=TEXT($G47*$H47,""$#,##0"")",,Include end-to-end workflow validation
Testing,Performance Testing,Conduct load performance and scalability testing,EO Engineer,24,='Estimate Settings'!$C$24,=$E48*$F48,$140,"=TEXT($G48*$H48,""$#,##0"")",,Include production-like environment and stress testing
Testing,Security Testing,Perform security assessments penetration testing and compliance validation,EO Engineer,16,='Estimate Settings'!$C$24,=$E49*$F49,$175,"=TEXT($G49*$H49,""$#,##0"")",,Include vulnerability scanning and compliance checks
Testing,User Acceptance Testing,Coordinate UAT with business users and stakeholders,EO Engineer,32,='Estimate Settings'!$C$24,=$E50*$F50,$150,"=TEXT($G50*$H50,""$#,##0"")",,Include training feedback collection and sign-off
Deployment,Production Deployment,Deploy solution to production environment with monitoring,EO Engineer,24,='Estimate Settings'!$C$25,=$E51*$F51,$160,"=TEXT($G51*$H51,""$#,##0"")",,Include blue-green deployment rollback and validation
Deployment,Go-Live Support,Provide comprehensive support during initial production rollout,EO Engineer,48,='Estimate Settings'!$C$25,=$E52*$F52,$110,"=TEXT($G52*$H52,""$#,##0"")",,Include 24/7 support monitoring and issue resolution
Training,Administrator Training,Train system administrators and technical support teams,EO Engineer,16,='Estimate Settings'!$C$26,=$E53*$F53,$130,"=TEXT($G53*$H53,""$#,##0"")",,Include hands-on technical training and certification
Training,End User Training,Train business users on solution functionality and workflows,EO Engineer,24,='Estimate Settings'!$C$26,=$E54*$F54,$120,"=TEXT($G54*$H54,""$#,##0"")",,Include role-based training documentation and support
Training,Documentation,Create comprehensive technical and user documentation,EO Engineer,32,='Estimate Settings'!$C$26,=$E55*$F55,$110,"=TEXT($G55*$H55,""$#,##0"")",,Include runbooks troubleshooting guides and best practices
Closeout,Knowledge Transfer,Transfer solution ownership to operations and support teams,EO Engineer,16,='Estimate Settings'!$C$27,=$E56*$F56,$140,"=TEXT($G56*$H56,""$#,##0"")",,Include operational procedures escalation and maintenance
Closeout,Performance Baseline,Establish performance metrics monitoring baselines and SLAs,EO Engineer,8,='Estimate Settings'!$C$27,=$E57*$F57,$130,"=TEXT($G57*$H57,""$#,##0"")",,Include KPI definition monitoring setup and reporting
Management,Technical Leadership,Quarterback technical oversight and architecture review,EO Quarterback,40,='Estimate Settings'!$C$28,=$E58*$F58,$180,"=TEXT($G58*$H58,""$#,##0"")",,25% of engineering effort
Management,Project Management,Project coordination and management activities,EO Project Manager,40,='Estimate Settings'!$C$28,=$E59*$F59,$150,"=TEXT($G59*$H59,""$#,##0"")",,20% of engineering effort
,,,,,TOTAL HOURS,=SUM(G33:G59),TOTAL COST,"=TEXT(SUMPRODUCT(G33:G59,H33:H59),""$#,##0"")",,Total project cost estimate
