Provider,Category,Solution Name,Description,Templates,Status
hashicorp,cloud,Multi Cloud Platform,Multi-cloud infrastructure management & automation,https://github.com/eoframework/templates/tree/main/solutions/hashicorp/cloud/multi-cloud-platform,Active
hashicorp,devops,Terraform Enterprise,Enterprise infrastructure as code platform,https://github.com/eoframework/templates/tree/main/solutions/hashicorp/devops/terraform-enterprise,Active
nvidia,ai,GPU Compute Cluster,GPU cluster for parallel computing & AI workloads,https://github.com/eoframework/templates/tree/main/solutions/nvidia/ai/gpu-compute-cluster,Active
nvidia,ai,DGX SuperPOD,High-performance computing for AI model training,https://github.com/eoframework/templates/tree/main/solutions/nvidia/ai/dgx-superpod,Active
nvidia,modern-workspace,Omniverse Enterprise,Real-time collaboration platform for 3D workflows,https://github.com/eoframework/templates/tree/main/solutions/nvidia/modern-workspace/omniverse-enterprise,Active
github,cyber-security,CodeQL Security Scanner,Advanced threat protection for code repositories,https://github.com/eoframework/templates/tree/main/solutions/github/cyber-security/advanced-security,Active
github,devops,GitHub Workflow Automation,Enterprise CI/CD automation & workflow management,https://github.com/eoframework/templates/tree/main/solutions/github/devops/actions-enterprise-cicd,Active
dell,cloud,VxRail HCI,Hyperconverged infrastructure for simplified IT,https://github.com/eoframework/templates/tree/main/solutions/dell/cloud/vxrail-hci,Active
dell,cloud,VxRail Hyperconverged,Complete HCI platform for enterprise workloads,https://github.com/eoframework/templates/tree/main/solutions/dell/cloud/vxrail-hyperconverged,Active
dell,network,Powerswitch Datacenter,High-performance datacenter switching fabric,https://github.com/eoframework/templates/tree/main/solutions/dell/network/powerswitch-datacenter,Active
dell,cyber-security,Safeid Authentication,Multi-factor authentication for secure access,https://github.com/eoframework/templates/tree/main/solutions/dell/cyber-security/safeid-authentication,Active
dell,ai,Precision AI Workstation,High-performance workstations for AI development,https://github.com/eoframework/templates/tree/main/solutions/dell/ai/precision-ai-workstation,Active
dell,devops,Poweredge Ci Infrastructure,Enterprise CI infrastructure on PowerEdge servers,https://github.com/eoframework/templates/tree/main/solutions/dell/devops/poweredge-ci-infrastructure,Active
juniper,network,Mist AI Network,AI-driven network operations & user experiences,https://github.com/eoframework/templates/tree/main/solutions/juniper/network/mist-ai-network,Active
juniper,cyber-security,SRX Firewall Platform,Next-gen firewall for enterprise network security,https://github.com/eoframework/templates/tree/main/solutions/juniper/cyber-security/srx-firewall-platform,Active
microsoft,cyber-security,CMMC Enclave,CMMC-compliant secure enclave for defense contractors,https://github.com/eoframework/templates/tree/main/solutions/microsoft/cyber-security/cmmc-enclave,Active
microsoft,modern-workspace,Microsoft 365 Deployment,Complete Microsoft 365 enterprise deployment,https://github.com/eoframework/templates/tree/main/solutions/microsoft/modern-workspace/m365-deployment,Active
google,cloud,Landing Zone,Secure cloud foundation with governance & controls,https://github.com/eoframework/templates/tree/main/solutions/google/cloud/landing-zone,Active
google,modern-workspace,Workspace,Collaborative digital workspace for modern teams,https://github.com/eoframework/templates/tree/main/solutions/google/modern-workspace/workspace,Active
azure,cloud,Enterprise Landing Zone,Secure Azure foundation for enterprise workloads,https://github.com/eoframework/templates/tree/main/solutions/azure/cloud/enterprise-landing-zone,Active
azure,network,Virtual Wan Global,Global WAN connectivity for distributed enterprises,https://github.com/eoframework/templates/tree/main/solutions/azure/network/virtual-wan-global,Active
azure,cyber-security,Sentinel SIEM,Cloud SIEM for advanced threat detection & response,https://github.com/eoframework/templates/tree/main/solutions/azure/cyber-security/sentinel-siem,Active
azure,ai,Cognitive Document Processor,Smart document processing with Azure cognitive AI,https://github.com/eoframework/templates/tree/main/solutions/azure/ai/document-intelligence,Active
azure,modern-workspace,Virtual Desktop,Secure remote desktop for modern workforce productivity,https://github.com/eoframework/templates/tree/main/solutions/azure/modern-workspace/virtual-desktop,Active
azure,devops,DevOps Pipeline Factory,DevOps platform for accelerated software delivery,https://github.com/eoframework/templates/tree/main/solutions/azure/devops/enterprise-platform,Active
aws,cloud,Disaster Recovery Web Application,Rapid business continuity with automated failover,https://github.com/eoframework/templates/tree/main/solutions/aws/cloud/disaster-recovery-web-application,Active
aws,cloud,Onpremise To Cloud Migration,Seamless enterprise migration to modern cloud platform,https://github.com/eoframework/templates/tree/main/solutions/aws/cloud/onpremise-to-cloud-migration,Active
aws,ai,Intelligent Document Processing,Automate document insights with AI-driven extraction,https://github.com/eoframework/templates/tree/main/solutions/aws/ai/intelligent-document-processing,Active
ibm,cloud,Openshift Container Platform,Enterprise container platform for modern applications,https://github.com/eoframework/templates/tree/main/solutions/ibm/cloud/openshift-container-platform,Active
ibm,devops,Ansible Automation Platform,IT automation platform for operational efficiency,https://github.com/eoframework/templates/tree/main/solutions/ibm/devops/ansible-automation-platform,Active
cisco,cloud,HyperFlex Cloud Bridge,Seamless hybrid cloud infrastructure integration,https://github.com/eoframework/templates/tree/main/solutions/cisco/cloud/hybrid-infrastructure,Active
cisco,network,SD-WAN Enterprise,Enterprise SD-WAN for optimized branch connectivity,https://github.com/eoframework/templates/tree/main/solutions/cisco/network/sd-wan-enterprise,Active
cisco,cyber-security,Zero Trust Network Gateway,Zero-trust network access for enhanced security,https://github.com/eoframework/templates/tree/main/solutions/cisco/cyber-security/secure-access,Active
cisco,ai,AI-Powered Network Insights,AI-driven network insights for optimized performance,https://github.com/eoframework/templates/tree/main/solutions/cisco/ai/network-analytics,Active
cisco,devops,Network Infrastructure Pipeline,Network-aware CI/CD for infrastructure automation,https://github.com/eoframework/templates/tree/main/solutions/cisco/devops/ci-cd-automation,Active
